Group,Sub-Group,Language,State,Number of Speakers,Margin of Error,"Speak English less than ""Very Well""",Margin of Error,,,,
ALL OTHER LANGUAGES,.African languages,..Nilo-Hamitic,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Nilo-Saharan,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Swahili,Pennsylvania,2590,507,720,262,,,,
ALL OTHER LANGUAGES,.African languages,..Bantu,Pennsylvania,2120,559,685,337,,,,
ALL OTHER LANGUAGES,.African languages,..Mande,Pennsylvania,2950,619,820,373,,,,
ALL OTHER LANGUAGES,.African languages,..Fulani,Pennsylvania,1310,642,785,518,,,,
ALL OTHER LANGUAGES,.African languages,..Gur,Pennsylvania,170,261,130,198,,,,
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Pennsylvania,7535,889,1215,338,,,,
ALL OTHER LANGUAGES,.African languages,..Efik,Pennsylvania,65,47,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Mbum (and related),Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..African,Pennsylvania,845,363,225,126,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Pennsylvania,175,64,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,Pennsylvania,180,105,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Other Uralic languages,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,Pennsylvania,390,155,210,103,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,Pennsylvania,70,68,45,63,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Mayan languages,Pennsylvania,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Oto - Manguen,Pennsylvania,70,53,70,53,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Arawakian,Pennsylvania,95,67,40,44,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Pennsylvania,210,95,70,50,,,,
OTHER INDO-EUROPEAN LANGUAGES,.English,..English,Rhode Island,785383,3028,NA,NA,,,,
SPANISH AND SPANISH CREOLE,.Spanish,..Spanish,Rhode Island,109455,1302,50075,1442,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,Rhode Island,10650,872,2030,320,,,,
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,Rhode Island,6321,813,2367,386,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,Rhode Island,8003,880,1762,322,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,Rhode Island,32100,1662,13065,877,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Papia Mentae,Rhode Island,60,62,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,Rhode Island,1620,283,260,86,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..Luxembourgian,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,Rhode Island,66,42,7,12,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,Rhode Island,150,89,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,Rhode Island,70,67,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,Rhode Island,235,126,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,Rhode Island,165,145,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,Rhode Island,110,82,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,Rhode Island,1976,501,350,138,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,Rhode Island,1719,369,773,194,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,Rhode Island,2149,428,641,181,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,Rhode Island,155,151,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,Rhode Island,100,153,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,Rhode Island,305,162,120,95,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,Rhode Island,40,40,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,Rhode Island,105,65,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,Rhode Island,1048,291,153,67,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,Rhode Island,326,232,81,52,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,Rhode Island,879,252,58,46,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,Rhode Island,479,281,181,118,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,Rhode Island,461,205,160,114,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,Rhode Island,370,223,15,17,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,Rhode Island,500,204,185,119,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,Rhode Island,135,102,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Rajasthani,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Oriya,Rhode Island,50,57,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,Rhode Island,575,415,350,330,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sindhi,Rhode Island,85,129,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Romany,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,Rhode Island,85,111,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Catalonian,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,Rhode Island,225,154,75,69,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,Rhode Island,55,42,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,Rhode Island,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,Rhode Island,60,43,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,Rhode Island,160,110,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,Rhode Island,120,63,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pashto,Rhode Island,75,95,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,Rhode Island,4490,635,2720,458,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Hakka,Rhode Island,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,Rhode Island,535,193,205,108,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,Rhode Island,860,305,305,153,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,Rhode Island,160,171,110,123,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,Rhode Island,498,175,188,95,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,Rhode Island,1114,300,568,203,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",Rhode Island,4287,789,2143,411,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,Rhode Island,666,292,301,152,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,Rhode Island,522,194,182,71,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,Rhode Island,3172,626,1540,362,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,Rhode Island,1067,420,593,259,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kazakh,Rhode Island,75,75,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,Rhode Island,400,219,195,159,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mongolian,Rhode Island,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,Rhode Island,110,75,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,Rhode Island,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,Rhode Island,175,115,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,Rhode Island,475,256,245,211,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tibetan,Rhode Island,80,123,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,Rhode Island,120,124,95,100,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,Rhode Island,2151,473,943,328,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,Rhode Island,135,86,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,Rhode Island,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,Rhode Island,40,67,30,48,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,Rhode Island,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,Rhode Island,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,Rhode Island,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Polynesian,Rhode Island,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,Rhode Island,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Navajo,.Navajo,Rhode Island,9,17,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Dakota,Rhode Island,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..American Indian,Rhode Island,175,137,NA,NA,,,,
ALL OTHER LANGUAGES,.Hungarian,.Hungarian,Rhode Island,161,111,65,64,,,,
ALL OTHER LANGUAGES,.Arabic,.Arabic,Rhode Island,2920,631,1083,321,,,,
ALL OTHER LANGUAGES,.Hebrew,.Hebrew,Rhode Island,390,163,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Amharic,Rhode Island,205,188,155,167,,,,
ALL OTHER LANGUAGES,.African languages,..Cushite,Rhode Island,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Swahili,Rhode Island,85,77,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..Bantu,Rhode Island,155,112,65,69,,,,
ALL OTHER LANGUAGES,.African languages,..Mande,Rhode Island,235,184,110,97,,,,
ALL OTHER LANGUAGES,.African languages,..Fulani,Rhode Island,465,240,95,73,,,,
ALL OTHER LANGUAGES,.African languages,"..Kru, Ibo, Yoruba",Rhode Island,2435,469,795,266,,,,
ALL OTHER LANGUAGES,.African languages,..Efik,Rhode Island,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.African languages,..African,Rhode Island,60,50,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Finnish,Rhode Island,75,60,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Estonian,Rhode Island,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Caucasian,Rhode Island,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Basque,Rhode Island,30,47,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Syriac,Rhode Island,110,94,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Mayan languages,Rhode Island,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other and unspecified languages,..Uncodable,Rhode Island,70,46,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.English,..English,South Carolina,4081441,4001,NA,NA,,,,
SPANISH AND SPANISH CREOLE,.Spanish,..Spanish,South Carolina,195870,2714,93640,2489,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..French,South Carolina,11035,987,2185,382,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Patois,South Carolina,150,87,20,24,,,,
OTHER INDO-EUROPEAN LANGUAGES,".French (incl. Patois, Cajun)",..Cajun,South Carolina,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.French Creole,.French Creole,South Carolina,510,164,86,69,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Italian,.Italian,South Carolina,2752,398,538,177,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Portuguese (incl. Portuguese Creole),..Portuguese,South Carolina,3455,758,1480,509,,,,
OTHER INDO-EUROPEAN LANGUAGES,.German (incl. Luxembourgian),..German,South Carolina,12660,894,1835,289,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Yiddish,.Yiddish,South Carolina,93,74,5,9,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Pennsylvania Dutch,South Carolina,140,133,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Dutch,South Carolina,870,234,75,56,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other West Germanic languages,..Afrikaans,South Carolina,230,126,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Swedish,South Carolina,475,209,20,20,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Danish,South Carolina,195,134,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Norwegian,South Carolina,225,127,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Scandinavian languages,..Icelandic,South Carolina,30,31,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Greek,.Greek,South Carolina,2252,458,561,199,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Russian,.Russian,South Carolina,4307,702,1498,372,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Polish,.Polish,South Carolina,1700,409,524,179,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbocroatian,South Carolina,245,185,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Croatian,South Carolina,130,117,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Serbo-Croatian languages,..Serbian,South Carolina,335,306,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bielorussian,South Carolina,155,177,55,63,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Ukrainian,South Carolina,1880,701,940,415,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Czech,South Carolina,355,162,85,82,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovak,South Carolina,140,79,65,47,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Bulgarian,South Carolina,445,307,165,144,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Macedonian,South Carolina,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Slavic languages,..Slovene,South Carolina,90,78,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Armenian,.Armenian,South Carolina,112,93,19,35,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Persian,.Persian,South Carolina,762,295,387,168,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Hindi,.Hindi,South Carolina,2113,388,450,176,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Gujarati,.Gujarati,South Carolina,4093,828,1282,383,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Urdu,.Urdu,South Carolina,1123,368,276,112,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..India n.e.c.3,South Carolina,710,354,245,133,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Bengali,South Carolina,670,378,190,188,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Panjabi,South Carolina,665,345,235,157,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Marathi,South Carolina,410,240,60,68,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Assamese,South Carolina,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Nepali,South Carolina,270,224,265,223,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Sinhalese,South Carolina,125,86,75,66,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indic languages,..Romany,South Carolina,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Jamaican Creole,South Carolina,320,308,210,292,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Krio,South Carolina,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Pidgin,South Carolina,75,93,65,90,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Gullah,South Carolina,205,114,65,49,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Romanian,South Carolina,650,223,145,78,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Welsh,South Carolina,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Irish Gaelic,South Carolina,160,92,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Scottic Gaelic,South Carolina,NA,NA,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Albanian,South Carolina,220,151,145,113,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Lithuanian,South Carolina,460,327,35,35,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Latvian,South Carolina,90,74,NA,NA,,,,
OTHER INDO-EUROPEAN LANGUAGES,.Other Indo-European languages,..Kurdish,South Carolina,250,262,75,92,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Chinese,South Carolina,7895,939,4250,635,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Hakka,South Carolina,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Cantonese,South Carolina,375,199,205,129,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Mandarin,South Carolina,1480,455,785,298,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",..Formosan,South Carolina,60,63,45,58,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Japanese,.Japanese,South Carolina,2824,464,1229,286,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Korean,.Korean,South Carolina,4239,582,2272,369,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,".Mon-Khmer, Cambodian",".Mon-Khmer, Cambodian",South Carolina,1227,408,561,221,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Hmong,.Hmong,South Carolina,1097,345,314,160,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Thai,.Thai,South Carolina,909,272,371,110,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Laotian,.Laotian,South Carolina,833,265,451,170,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Vietnamese,.Vietnamese,South Carolina,5693,668,3661,481,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Uighur,South Carolina,10,27,10,27,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Azerbaijani,South Carolina,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Turkish,South Carolina,550,283,170,115,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tungus,South Carolina,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Dravidian,South Carolina,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Telugu,South Carolina,940,316,190,114,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Kannada,South Carolina,95,64,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Malayalam,South Carolina,725,358,70,69,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Tamil,South Carolina,550,232,150,112,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Burmese,South Carolina,205,176,175,166,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Karen,South Carolina,65,101,60,90,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Asian languages,..Mien,South Carolina,50,46,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Tagalog,.Tagalog,South Carolina,6269,616,1977,329,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Indonesian,South Carolina,135,110,85,100,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Malay,South Carolina,45,56,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Bisayan,South Carolina,110,76,35,50,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Sebuano,South Carolina,60,55,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pangasinan,South Carolina,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ilocano,South Carolina,40,42,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Pampangan,South Carolina,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Micronesian,South Carolina,120,86,85,78,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Chamorro,South Carolina,130,115,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Palau,South Carolina,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Ponapean,South Carolina,260,281,40,46,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Samoan,South Carolina,70,41,15,18,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Tongan,South Carolina,NA,NA,NA,NA,,,,
ASIAN AND PACIFIC ISLAND LANGUAGES,.Other Pacific Island languages,..Hawaiian,South Carolina,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Navajo,.Navajo,South Carolina,6,12,6,12,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Arapaho,South Carolina,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Ottawa,South Carolina,NA,NA,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Apache,South Carolina,30,27,NA,NA,,,,
ALL OTHER LANGUAGES,.Other Native North American languages,..Nez Perce,South Carolina,NA,NA,NA,NA,,,,
